Category,Name,Phone,Google Maps URL,Website,email,Business Status,Address,Total Reviews,Booking Links,Rating,Hours
Bar Olahraga,Cabang Permata Bearland,,https://www.google.com/maps/place/Cabang+Permata+Bearland/data=!4m7!3m6!1s0x2e69f5007cf2acbd:0x6df06e87daafb931!8m2!3d-6.206743!4d106.8496195!16s%2Fg%2F11yjv6g7b9!19sChIJvazyfAD1aS4RMbmv2odu8G0?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Brown Store Graha Raya Bintaro | Toko baju olahraga bintaro|,,https://www.google.com/maps/place/Brown+Store+Graha+Raya+Bintaro+%7C+Toko+baju+olahraga+bintaro%7C/data=!4m7!3m6!1s0x2e69fb6f262d276d:0xe80668e5a02b9f8b!8m2!3d-6.263193!4d106.6877498!16s%2Fg%2F11rjv6bk7y!19sChIJbSctJm_7aS4Ri58roOVoBug?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 19.00,,(6),,"5,0 bintang",Rabu10.00–19.00Kamis10.00–19.00Jumat10.00–19.00Sabtu07.00–19.00Minggu07.00–19.00Senin10.30–19.00Selasa10.00–19.00Sarankan jam buka baru
Bar Olahraga,Tenis daan mogot,,https://www.google.com/maps/place/Tenis+daan+mogot/data=!4m7!3m6!1s0x2e69f7005305e2f9:0x7f17e4e6cf9109af!8m2!3d-6.1625786!4d106.7745489!16s%2Fg%2F11ycldnq9_!19sChIJ-eIFUwD3aS4RrwmRz-bkF38?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,GYM Mexico,,https://www.google.com/maps/place/GYM+Mexico/data=!4m7!3m6!1s0x2e69f7007813163d:0x21a25a51754cf875!8m2!3d-6.1675348!4d106.7746585!16s%2Fg%2F11x7pwn7r5!19sChIJPRYTeAD3aS4RdfhMdVFaoiE?authuser=0&hl=id&rclk=1,,,,,(3),,"5,0 bintang",
Tempat Biliar,Grey House billiard & cafe,,https://www.google.com/maps/place/Grey+House+billiard+%26+cafe/data=!4m7!3m6!1s0x2e69eff0c0b6fb89:0xa90ee1997922abd0!8m2!3d-6.2921174!4d106.745571!16s%2Fg%2F11sj98xx9l!19sChIJifu2wPDvaS4R0KsieZnhDqk?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 15.00,,(247),,"4,6 bintang",Rabu15.00–01.00Kamis15.00–01.00Jumat13.00–03.00Sabtu15.00–01.00Minggu15.00–01.00Senin15.00–01.00Selasa15.00–01.00Sarankan jam buka baru
Bar Olahraga,21 Billiard,,https://www.google.com/maps/place/21+Billiard/data=!4m7!3m6!1s0x2e69f9552894ccd3:0xf2c843dc9dddc3ce!8m2!3d-6.1938152!4d106.7099359!16s%2Fg%2F11r1rgdyws!19sChIJ08yUKFX5aS4RzsPdndxDyPI?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 14.00,,(65),,"4,8 bintang",Rabu14.00–01.00Kamis14.00–01.00Jumat14.00–01.00Sabtu14.00–01.00Minggu14.00–01.00Senin14.00–01.00Selasa14.00–01.00Sarankan jam buka baru
Arena Bowling,Spin City,,https://www.google.com/maps/place/Spin+City/data=!4m7!3m6!1s0x2e69fb3504d87433:0x9c8b1c1c99375d07!8m2!3d-6.3027!4d106.6551!16s%2Fg%2F11df05xx_6!19sChIJM3TYBDX7aS4RB103mRwci5w?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 00.00,,(2.646),,"4,5 bintang",Rabu10.00–00.00Kamis10.00–00.00Jumat10.00–02.00Sabtu10.00–02.00Minggu10.00–00.00Senin10.00–00.00Selasa10.00–00.00Sarankan jam buka baru
Bar Olahraga,bilsport,,https://www.google.com/maps/place/bilsport/data=!4m7!3m6!1s0x2e69f137b71bc64f:0xf307a2085a804523!8m2!3d-6.2595128!4d106.7446676!16s%2Fg%2F11h_785pqh!19sChIJT8YbtzfxaS4RI0WAWgiiB_M?authuser=0&hl=id&rclk=1,,,,,(1),,"1,0 bintang",
Bar Olahraga,Ptm 25 rebord,,https://www.google.com/maps/place/Ptm+25+rebord/data=!4m7!3m6!1s0x2e69f30019dc8e23:0x2b521968322780b5!8m2!3d-6.2386109!4d106.9019611!16s%2Fg%2F11xzs9fj97!19sChIJI47cGQDzaS4RtYAnMmgZUis?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Tipsy Hippo,,https://www.google.com/maps/place/Tipsy+Hippo/data=!4m7!3m6!1s0x2e699b00616a45df:0x2524efc86b7a3cd7!8m2!3d-6.3330144!4d107.1396697!16s%2Fg%2F11vz256vpb!19sChIJ30VqYQCbaS4R1zx6a8jvJCU?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 15.00,,(22),,"4,5 bintang",Rabu15.00–00.30Kamis15.00–00.30Jumat15.00–02.00Sabtu15.00–02.30Minggu12.00–21.00Senin15.00–00.30Selasa15.00–00.30Sarankan jam buka baru
Bar Olahraga,Bull 'n' Bear Sports Arena,,https://www.google.com/maps/place/Bull+%27n%27+Bear+Sports+Arena/data=!4m7!3m6!1s0x2e699bce0b2ee41d:0xfd4d43cb31abf091!8m2!3d-6.3313772!4d107.1397884!16s%2Fg%2F11vdnvyr1b!19sChIJHeQuC86baS4RkfCrMctDTf0?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 18.00,,(6),,"5,0 bintang",Rabu18.00–02.00Kamis18.00–02.00Jumat18.00–02.00Sabtu18.00–02.00Minggu18.00–02.00Senin18.00–02.00Selasa18.00–02.00Sarankan jam buka baru
Toko Peralatan Olahraga,Anugrah Sport service Tredmill / Alat Fitnes,,https://www.google.com/maps/place/Anugrah+Sport+service+Tredmill+%2F+Alat+Fitnes/data=!4m7!3m6!1s0x2e69f5329e8ef843:0x7270d599e64f8383!8m2!3d-6.2094751!4d106.8998017!16s%2Fg%2F11shx4s70c!19sChIJQ_iOnjL1aS4Rg4NP5pnVcHI?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(39),,"5,0 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,Lapangan Badminton BARAYA,,https://www.google.com/maps/place/Lapangan+Badminton+BARAYA/data=!4m7!3m6!1s0x2e69e7a91de06c5f:0x10728c902243e312!8m2!3d-6.4334102!4d106.7145208!16s%2Fg%2F11h9hs9wnc!19sChIJX2zgHannaS4REuNDIpCMchA?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(8),,"4,8 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,VIRGO GIM & muangthai,,https://www.google.com/maps/place/VIRGO+GIM+%26+muangthai/data=!4m7!3m6!1s0x2e69eb000abec2f9:0x925364d843ffec7a!8m2!3d-6.3927353!4d106.9088128!16s%2Fg%2F11w3_fqcrc!19sChIJ-cK-CgDraS4Reuz_Q9hkU5I?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Kenz Bilyard,,https://www.google.com/maps/place/Kenz+Bilyard/data=!4m7!3m6!1s0x2e69e5003b45b9af:0xe07dcf8def0455eb!8m2!3d-6.3631894!4d106.6636848!16s%2Fg%2F11w1v9kxvs!19sChIJr7lFOwDlaS4R61UE743PfeA?authuser=0&hl=id&rclk=1,,,,,(1),,"5,0 bintang",
Tempat Fitness,Gymnasyum | Gym Bintaro,,https://www.google.com/maps/place/Gymnasyum+%7C+Gym+Bintaro/data=!4m7!3m6!1s0x2e69fb3a9d60774d:0xaafc65bae083ffa9!8m2!3d-6.2728702!4d106.7135177!16s%2Fg%2F11wnyt4tj0!19sChIJTXdgnTr7aS4Rqf-D4Lpl_Ko?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 21.00,,(113),,"5,0 bintang",Rabu06.00–21.00Kamis06.00–21.00Jumat06.00–21.00Sabtu06.00–13.00Minggu06.00–13.00Senin06.00–21.00Selasa06.00–21.00Sarankan jam buka baru
Bar Olahraga,LAPANGAN BADMINTON BAIM,,https://www.google.com/maps/place/LAPANGAN+BADMINTON+BAIM/data=!4m7!3m6!1s0x2e69e3a2c3359019:0x2b982fd581f25703!8m2!3d-6.3402803!4d106.6139966!16s%2Fg%2F11qqj8vtgm!19sChIJGZA1w6LjaS4RA1fygdUvmCs?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(10),,"5,0 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,PTM METEOR,,https://www.google.com/maps/place/PTM+METEOR/data=!4m7!3m6!1s0x2e69e50002d905a3:0x72de91c9f816fc1c!8m2!3d-6.3208268!4d106.7139301!16s%2Fg%2F11lmkjkbxp!19sChIJowXZAgDlaS4RHPwW-MmR3nI?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,PTM MABAR,,https://www.google.com/maps/place/PTM+MABAR/data=!4m7!3m6!1s0x2e69c100200b204d:0x22f68483287db78c!8m2!3d-6.4625122!4d106.8535239!16s%2Fg%2F11wty2xglv!19sChIJTSALIADBaS4RjLd9KIOE9iI?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka Kam pukul 09.00,,(2),,"4,0 bintang",Rabu09.00–12.00Kamis09.00–12.00Jumat09.00–12.00Sabtu09.00–12.00Minggu09.00–12.00Senin09.00–12.00Selasa09.00–12.00Sarankan jam buka baru
Bar Olahraga,DAFELA Futsal,,https://www.google.com/maps/place/DAFELA+Futsal/data=!4m7!3m6!1s0x2e698d477969fecd:0x73b0343541cc4e65!8m2!3d-6.2662546!4d106.9362267!16s%2Fg%2F11tsn4mzp7!19sChIJzf5peUeNaS4RZU7MQTU0sHM?authuser=0&hl=id&rclk=1,,,,,(5),,"4,0 bintang",
Bar Olahraga,UD ANGGATEX,,https://www.google.com/maps/place/UD+ANGGATEX/data=!4m7!3m6!1s0x2e69f13dff938d35:0xf65d44482a0e6338!8m2!3d-6.241042!4d106.7401831!16s%2Fg%2F11wj26_ybf!19sChIJNY2T_z3xaS4ROGMOKkhEXfY?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 21.00,,(5),,"4,2 bintang",Rabu09.00–21.00Kamis09.00–21.00Jumat09.00–21.00Sabtu09.00–18.00Minggu09.00–17.30Senin09.00–21.00Selasa09.00–21.00Sarankan jam buka baru
Bar Olahraga,Sir Agus Fighting club,,https://www.google.com/maps/place/Sir+Agus+Fighting+club/data=!4m7!3m6!1s0x2e69f946b7cad383:0x50fc670fd5f37483!8m2!3d-6.142969!4d106.7011978!16s%2Fg%2F11nwwr70hk!19sChIJg9PKt0b5aS4Rg3Tz1Q9n_FA?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka Sab pukul 00.00,,(4),,"4,8 bintang",RabuTutupKamisTutupJumatTutupSabtuBuka 24 jamMingguBuka 24 jamSeninTutupSelasaTutupSarankan jam buka baru
Bar Olahraga,Lapangan Bulutangkis Warhidal,,https://www.google.com/maps/place/Lapangan+Bulutangkis+Warhidal/data=!4m7!3m6!1s0x2e69e90044f93a01:0x6b1cf33195c3c21b!8m2!3d-6.4005002!4d106.7742083!16s%2Fg%2F11y87f_s97!19sChIJATr5RADpaS4RG8LDlTHzHGs?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Lapangan petanque K@sa petanque club,,https://www.google.com/maps/place/Lapangan+petanque+K@sa+petanque+club/data=!4m7!3m6!1s0x2e69c30066e78163:0xaa44b755bf4039c!8m2!3d-6.5333207!4d106.8149574!16s%2Fg%2F11x911py7q!19sChIJY4HnZgDDaS4RnAP0W3VLpAo?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Sekretariat MS JAGA LAWANG,,https://www.google.com/maps/place/Sekretariat+MS+JAGA+LAWANG/data=!4m7!3m6!1s0x2e69ef0072d13d7d:0x3486f291ad6cde28!8m2!3d-6.3436094!4d106.7323522!16s%2Fg%2F11wxmsynyg!19sChIJfT3RcgDvaS4RKN5srZHyhjQ?authuser=0&hl=id&rclk=1,,,,,,,,
Bar,GOTEAM BEKASI,,https://www.google.com/maps/place/GOTEAM+BEKASI/data=!4m7!3m6!1s0x2e698df7afbe164f:0x31272e7cc6ea8eeb!8m2!3d-6.2340039!4d107.0007861!16s%2Fg%2F11l4ntrvbq!19sChIJTxa-r_eNaS4R647qxnwuJzE?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(22),,"5,0 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,MONCERHERBALSTORE,,https://www.google.com/maps/place/MONCERHERBALSTORE/data=!4m7!3m6!1s0x2e69f5a167708c9b:0x16017c8b4ed41a8c!8m2!3d-6.1771956!4d106.8938424!16s%2Fg%2F11wnwm5k4w!19sChIJm4xwZ6H1aS4RjBrUTot8ARY?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,,,,RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuTutupMingguTutupSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,Drakula Billiards & Cafe,,https://www.google.com/maps/place/Drakula+Billiards+%26+Cafe/data=!4m7!3m6!1s0x2e69c50f1fb7d121:0x40d3e79086a065df!8m2!3d-6.569194!4d106.8080926!16s%2Fg%2F11x2qtv6gh!19sChIJIdG3Hw_FaS4R32WghpDn00A?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 22.00,,(17),,"4,5 bintang",Rabu11.00–22.00Kamis11.00–22.00Jumat11.00–22.00Sabtu11.00–22.00Minggu11.00–22.00Senin11.00–22.00Selasa11.00–22.00Sarankan jam buka baru
Bar Olahraga,IKS.PI KERA SAKTI BOJONG INDAH,,https://www.google.com/maps/place/IKS.PI+KERA+SAKTI+BOJONG+INDAH/data=!4m7!3m6!1s0x2e69f70011fcaaaf:0x20b808cbe1e6f37c!8m2!3d-6.1614592!4d106.7410428!16s%2Fg%2F11lzdwfz4f!19sChIJr6r8EQD3aS4RfPPm4csIuCA?authuser=0&hl=id&rclk=1,,,,,(1),,"5,0 bintang",
Bar Olahraga,Tempat pull up,,https://www.google.com/maps/place/Tempat+pull+up/data=!4m7!3m6!1s0x2e698d77805afe93:0x21e66e220e353d42!8m2!3d-6.2479201!4d106.9841498!16s%2Fg%2F11v1880y6b!19sChIJk_5agHeNaS4RQj01DiJu5iE?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,My Bestie,,https://www.google.com/maps/place/My+Bestie/data=!4m7!3m6!1s0x2e69fba9733108a7:0x99e488d16ece56ec!8m2!3d-6.239807!4d106.6902497!16s%2Fg%2F11khd_hp56!19sChIJpwgxc6n7aS4R7FbObtGI5Jk?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka Kam pukul 07.16,,,,,Rabu07.16–08.00Kamis07.16–08.00Jumat07.16–08.00Sabtu07.16–08.00MingguTutupSenin07.16–08.00Selasa07.16–08.00Sarankan jam buka baru
Restoran,ENIGMA Sumarecon Serpong,,https://www.google.com/maps/place/ENIGMA+Sumarecon+Serpong/data=!4m7!3m6!1s0x2e69fc0ac0c51f1d:0x94df79d99f171d03!8m2!3d-6.2434285!4d106.6274354!16s%2Fg%2F11bwfzcx30!19sChIJHR_FwAr8aS4RAx0Xn9l535Q?authuser=0&hl=id&rclk=1,,,Buka⋅ Tutup pukul 04.00,,(268),,"4,3 bintang",Rabu10.00–04.00Kamis10.00–04.00Jumat10.00–04.00Sabtu10.00–03.45Minggu10.00–04.00Senin10.00–04.00Selasa10.00–04.00Sarankan jam buka baru
Bar Olahraga,Padepokan Persinas Asad BIM,,https://www.google.com/maps/place/Padepokan+Persinas+Asad+BIM/data=!4m7!3m6!1s0x2e69f100182fea09:0x3254a38c1e1d4d49!8m2!3d-6.2759099!4d106.7418595!16s%2Fg%2F11vwl61vf9!19sChIJCeovGADxaS4RSU0dHoyjVDI?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Brotherland 2,,https://www.google.com/maps/place/Brotherland+2/data=!4m7!3m6!1s0x2e69970043a68ac3:0x4a8395ea7e05f453!8m2!3d-6.4521893!4d107.039241!16s%2Fg%2F11mdgnhnb4!19sChIJw4qmQwCXaS4RU_QFfuqVg0o?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,PB CHEVER,,https://www.google.com/maps/place/PB+CHEVER/data=!4m7!3m6!1s0x2e69979014aff7a5:0xe6a567448ac8567a!8m2!3d-6.3945434!4d107.0926464!16s%2Fg%2F11n72d9lgc!19sChIJpfevFJCXaS4RelbIikRnpeY?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(2),,"3,5 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Lapangan Bulutangkis,"PB TUNAS BARU, DAMAN IDOL",,"https://www.google.com/maps/place/PB+TUNAS+BARU,+DAMAN+IDOL/data=!4m7!3m6!1s0x2e69ed46a5ce8ce9:0x5d7a06ee8665f33a!8m2!3d-6.312442!4d106.8954393!16s%2Fg%2F11bwyf4jsy!19sChIJ6YzOpUbtaS4ROvNlhu4Gel0?authuser=0&hl=id&rclk=1",,,,,(16),,"3,8 bintang",
Bar Olahraga,Jual Gawang Futsal Portable,,https://www.google.com/maps/place/Jual+Gawang+Futsal+Portable/data=!4m7!3m6!1s0x2e698d53e446fdf1:0x77eb403d0ec6fcc7!8m2!3d-6.2955233!4d106.9277836!16s%2Fg%2F11j4jt6z1f!19sChIJ8f1G5FONaS4Rx_zGDj1A63c?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,Padel Engineers,,https://www.google.com/maps/place/Padel+Engineers/data=!4m7!3m6!1s0x2e69c528e37642ab:0xd39ddc3056df4b21!8m2!3d-6.5547248!4d106.7676988!16s%2Fg%2F11yfdgyxnz!19sChIJq0J24yjFaS4RIUvfVjDcndM?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Olahraga,PSHT RANTING CIPONDOH,,https://www.google.com/maps/place/PSHT+RANTING+CIPONDOH/data=!4m7!3m6!1s0x2e69f9000dd505db:0x50087b48dc0e6f53!8m2!3d-6.1977599!4d106.6787528!16s%2Fg%2F11x_l7lwz8!19sChIJ2wXVDQD5aS4RU28O3Eh7CFA?authuser=0&hl=id&rclk=1,,,,,,,,
Bar Dengan Pentas Musik,Club brewhuorse,,https://www.google.com/maps/place/Club+brewhuorse/data=!4m7!3m6!1s0x2e698f1181d53801:0x85647d212b0f7cb7!8m2!3d-6.2724802!4d107.0505303!16s%2Fg%2F11sg_780pv!19sChIJATjVgRGPaS4Rt3wPKyF9ZIU?authuser=0&hl=id&rclk=1,,,Buka 24 jam,,(2),,"5,0 bintang",RabuBuka 24 jamKamisBuka 24 jamJumatBuka 24 jamSabtuBuka 24 jamMingguBuka 24 jamSeninBuka 24 jamSelasaBuka 24 jamSarankan jam buka baru
Bar Olahraga,Lapangan Tenis Meja RT001/013,,https://www.google.com/maps/place/Lapangan+Tenis+Meja+RT001%2F013/data=!4m7!3m6!1s0x2e69f5b768bb65cb:0xd06d7d7256c507f4!8m2!3d-6.1855163!4d106.8631893!16s%2Fg%2F11s5d05rbj!19sChIJy2W7aLf1aS4R9AfFVnJ9bdA?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 22.00,,(3),,"5,0 bintang",Rabu22.00–02.50Kamis22.00–00.00Jumat22.00–00.00Sabtu22.00–02.50Minggu22.00–02.50Senin22.00–02.50Selasa22.00–02.50Sarankan jam buka baru
Lounge,Bass One Entertainment,,https://www.google.com/maps/place/Bass+One+Entertainment/data=!4m7!3m6!1s0x2e698d6a1bbdf081:0x56ceeceb2d7c1aec!8m2!3d-6.2198557!4d106.95099!16s%2Fg%2F11rqkypxdm!19sChIJgfC9G2qNaS4R7Bp8LevszlY?authuser=0&hl=id&rclk=1,,,Tutup⋅ Buka pukul 20.00,,(15),,"4,8 bintang",Rabu20.00–04.00Kamis20.00–04.00Jumat20.00–04.00Sabtu20.00–04.00Minggu20.00–04.00Senin20.00–04.00Selasa20.00–04.00Sarankan jam buka baru
Bar Olahraga,Lapangan volley sauk girang,,https://www.google.com/maps/place/Lapangan+volley+sauk+girang/data=!4m7!3m6!1s0x2e69e5007e2d596b:0xf1fb065b2e8dd63e!8m2!3d-6.3291893!4d106.6313393!16s%2Fg%2F11ldqr445s!19sChIJa1ktfgDlaS4RPtaNLlsG-_E?authuser=0&hl=id&rclk=1,,,,,(2),,"5,0 bintang",
Bar Olahraga,Lapangan Pasben,,https://www.google.com/maps/place/Lapangan+Pasben/data=!4m7!3m6!1s0x2e698d003a946e1d:0x74e410a04f0d7160!8m2!3d-6.2271821!4d106.9164701!16s%2Fg%2F11y48hrjd7!19sChIJHW6UOgCNaS4RYHENT6AQ5HQ?authuser=0&hl=id&rclk=1,,,,,,,,
